# slug|source element prefix|category|Chinese visible appearance|English visible appearance|estimated p when seen in source location|region ID suffix (optional)|reviewed image index (optional)
# Every row names a local HTML block. Probability is an initial qualitative estimate, not a measured frequency.
canada|f1baa2a|words|centre 或 colour 拼写|The spelling centre or colour|0.62||
canada|f1baa2a|words|km/h 速度单位|Speed shown in km/h|0.82||
canada|93ccf5f|camera|圆形车底模糊和天空光晕|Circular car blur with a sky halo|0.62||
canada|ucc8e4e|camera|车镜打码形成两个尖角|Two pointed bumps in mirror blur|0.62||
canada|u0d0d7c|camera|低相机位与巨大的圆形车头模糊|Low camera view with a large round front blur|0.34||0
canada|6ecc754|signs|黄色菱形丁字路口标志|Yellow diamond T-junction sign|0.82||0
canada|2d05f3b|words|限速牌写有 MAXIMUM|MAXIMUM on a speed sign|0.82||0
canada|a623ed7|markings|单黄中心线|Single yellow center line|0.62||0
canada|84fb351|brands|红色邮政标志|Red postal emblem|0.62||
canada|63734db|signs|无文字的铁路道口或让行牌|Wordless rail crossing or yield sign|0.62||0
canada|u52744c|plates|无前牌的车辆|Vehicle without a front plate|0.60||
canada|u4b8b05|languages|法语文字|French text|0.62|ca:qc|
canada|u4b8b05|signs|英语和法语并列路牌|English and French on one sign|0.62|ca:nb|
canada|u622eaec|signs|公里标记底部有白色方块|White square at the foot of a kilometer marker|0.82|ca:on|
canada|u3c1d9e|signs|限速牌底部黑底白字 km/h|Black km/h panel under a speed sign|0.82|ca:on|
canada|u145187|signs|限速牌上有 km/h 且无黑色底板|km/h on speed sign without a black panel|0.62|ca:bc|
canada|2ec3f3e|posts|圆柱路桩绕有两道黑色宽带|Round bollard with two black bands|0.82|ca:ab|0:left
canada|u990747|posts|路桩两道黑带之间有黄带|Yellow band between two black bollard bands|0.34|ca:ab|0:left
canada|fa81ec3|posts|黑灰路桩下方有橙色条纹|Black gray bollard with orange lower band|0.62|ca:mb|0:left
canada|9f69e50|posts|细薄且略弯的黑白路桩|Thin slightly bent black and white bollard|0.62|ca:bc|0:left
canada|9399db3|posts|护栏上细长白杆顶端有红或绿反光板|Slim white guardrail post with red or green reflector|0.82|ca:qc|0:left
canada|uc10a7c|posts|黄色消防栓位置标记|Yellow fire hydrant location marker|0.62|ca:qc|0:left
canada|c2758ad|posts|道路两侧的矩形标记|Rectangular markers along the road edge|0.62|ca:qc|0
canada|04e64ef|posts|道路两侧的菱形标记|Diamond markers along the road edge|0.82|ca:on|0:left
canada|10db162|barriers|圆木柱以三根金属线相连|Round wooden guardrail posts joined by three wires|0.62|ca:on|0:left
canada|u5ba0e8|posts|扁平黄色路边柱|Flat yellow roadside posts|0.62|ca:nb|0:left
canada|u327f5f|posts|圆柱路桩有两道粗黑带|Round bollard with two thick black bands|0.62|ca:nt|0:left
canada|u8c856f|poles|变压器朝向道路|Pole transformer facing the road|0.62|ca:bc|0:left
canada|u4b9a55|poles|变压器与道路成斜角安装|Pole transformer set diagonally to the road|0.62|ca:pe|
canada|66541e9|poles|杆顶两侧与顶部各有绝缘子|Insulators on both sides and top of a pole|0.62|ca:on|0:left
canada|150edc3|poles|杆顶绝缘子支臂略向上斜|Slightly upward sloping insulator arm|0.62|ca:qc|0:left
canada|3d19dbe|poles|电杆黑黄竖标签带小 Q|Black and yellow pole label with a small Q|0.34|ca:qc|0:left
canada|uccd6f6|poles|电杆上的白色小标签|Small white label on utility pole|0.62|ca:pe|0:left
canada|bbdb61d|poles|相邻电杆绝缘子左右交替|Alternating insulator arrangement on adjacent poles|0.62|ca:sk|
canada|edce4dc|signs|丁字路口标志不带棋盘格|T-junction sign without a checkerboard pattern|0.62|ca:qc|0:left
canada|cd216b1|signs|丁字路口菱形牌外有黄矩形边框|Yellow rectangular border around a diamond T sign|0.82|ca:nl|0
canada|d34262a|signs|路牌背面为绿色|Green back of a road sign|0.34|ca:bc|0:left
canada|b9d7713|signs|路牌背面有绿白条纹贴纸|Green and white striped sticker on sign back|0.34|ca:mb|0:left
canada|7234b20|signs|路牌上有白色三角形|White triangle on a road sign|0.34|ca:sk|0:left
canada|d2d57c6|markings|黄色中心线间夹一段短白线|Short white segment between yellow center lines|0.34|ca:sk|0:left
canada|688a4d0|words|停止牌写有 ARRÊT|ARRÊT on a stop sign|0.82|ca:qc|0:left
canada|0e9fc52|words|停止牌同时写 STOP 和 ARRÊT|STOP and ARRÊT on one stop sign|0.62|ca:nb|0:left
canada|u96d5d6|posts|护栏木柱顶部呈金字塔形|Pyramid top on a wooden guardrail post|0.62|ca:nl|
canada|04c3dcb|posts|消防栓旁有菱形标记|Diamond marker next to a fire hydrant|0.62|ca:nl|0
canada|18b648d|posts|橙黑条纹交通锥|Orange and black striped traffic cone|0.62|ca:on|
canada|uace380|posts|橙白条纹交通锥|Orange and white striped traffic cone|0.62|ca:qc|
canada|a855330|signs|红底白箭头弯道诱导牌|White bend arrow on red sign|0.82|ca:qc|0:left
canada|ude536a|poles|短而弯曲的路灯灯臂|Short curved streetlamp arm|0.62|ca:ns|0:left
canada|ea78c67|terrain|高耸连绵的山脉|High continuous mountains|0.62|ca:bc|0:left
canada|69949f2|terrain|棕色草坡与稀疏松树林|Brown grassy hills with scattered pines|0.62|ca:bc|0:left
canada|53c8f11|terrain|平坦且少树的农田草原|Flat treeless agricultural prairie|0.62|ca:sk|0:left
canada|fd67239|plants|明亮的黄色油菜花田|Bright yellow canola fields|0.62|ca:sk|0:left
canada|3505979|terrain|草原中的贫瘠河谷丘陵|Barren river valley hills in prairie|0.62|ca:sk|0:left
canada|4c5b898|plants|白树干且秋叶亮黄的白杨|White trunk and bright yellow autumn aspen|0.62|ca:mb|0:left
canada|2bf9372|soil|森林旁大片裸露基岩|Exposed bedrock beside forest|0.62|ca:on|0:left
canada|4e3b360|soil|红色土壤|Red soil|0.62|ca:pe|0:left
canada|f2f06dd|plants|圣诞树形的香脂冷杉|Christmas tree shaped balsam fir|0.62|ca:nl|0:left
canada|113e7c3|buildings|路旁八角形木板垃圾箱|Octagonal roadside wooden bin|0.62|ca:nl|0:left
canada|b5357d3|signs|蓝白红旗的蓝带上有黄星|Yellow star on blue stripe of tricolor flag|0.62|ca:nb|0:left
botswana|uc01c83|camera|无天线的白色街景车|White Street View car without antenna|0.82||
botswana|u29369d|plates|白色前牌和黄色后牌|White front plate and yellow rear plate|0.82||0
botswana|u8f3364|terrain|干燥而平坦的灌木地|Dry flat scrubland|0.62||0
botswana|u27e3f35|markings|黄色边线与白色中线|Yellow edge and white center lines|0.62||0
botswana|u37463eb|signs|黑黄相间的警示牌杆|Black and yellow striped warning sign pole|0.62||0
botswana|u7a1419|barriers|路缘或护栏上有黑黄条纹|Black and yellow striped curb or guardrail|0.62||0
botswana|ub5afdf|signs|红底白箭头弯道诱导牌|White bend arrow on red sign|0.62||
botswana|u2d829f|signs|蓝底旧式道路标志|Old style blue road sign|0.34||0
botswana|u1da891|camera|画面里有随机的局部模糊|Random small patches of image blur|0.62||0
egypt|84e9e23|camera|低机位徒步街景且无车影|Low-view trekker panorama without car shadow|0.82||
egypt|4330e09|buildings|大型砂岩历史建筑|Large historic sandstone building|0.62||0
egypt|8820c34|scripts|带连接线与点的阿拉伯字形|Connected Arabic letter shapes with dots|0.62||0
egypt|f35ece8|buildings|成排巨大的方形石柱|Rows of massive square stone pillars|0.62|eg:cairo|
egypt|c092ca7|buildings|阶梯形金字塔及脚手架|Stepped pyramid with scaffolding|0.62|eg:cairo|
egypt|3726f8f|buildings|整齐砂岩砌成的巨大城墙|Massive wall of neatly cut sandstone|0.62|eg:cairo|
egypt|3124358|buildings|带十字架的修道院尖顶|Monastery spires bearing crosses|0.62|eg:alexandria|
eswatini|7255bae|terrain|绿色树丘与路旁金色长草|Green wooded hills with long golden roadside grass|0.82||0
eswatini|a6defd9|poles|深棕木电杆侧装绝缘子|Dark brown wooden pole with side insulators|0.62||0
eswatini|ad2a028|camera|无天线的白色街景车|White Street View car without antenna|0.82||0
eswatini|972f986|plates|长车牌底部有绿色|Long vehicle plate with green lower edge|0.62||0
eswatini|277d40d|buildings|混凝土公交候车亭|Concrete bus shelter|0.62||0
eswatini|66de869|terrain|高山草地长着金色长草|Highland meadow with long golden grass|0.62|sz:west|0:left
eswatini|6b921f8|terrain|深绿树木覆盖的高山|Deep green tree-covered mountain|0.62|sz:central|0:left
eswatini|c7cbeb3|terrain|平坦地形且远处有山|Flat terrain with distant mountains|0.62|sz:east|0:left
ghana|u097823|camera|车顶架右端有黑胶带|Black tape on the right end of a roof rack|0.82||
ghana|ue8e996|camera|车头可见红色矩形涂装|Red rectangular paint visible on car hood|0.82||
ghana|ba2cd9a|plates|白牌与黄牌车辆同框|White and yellow plated vehicles together|0.62||0
ghana|58812c6|road-vehicles|橙黄轮罩的多色出租车|Multicolored taxi with orange yellow wheel covers|0.82||0
ghana|c5b9346|markings|道路只用白色标线|White road lines without yellow|0.62||0
ghana|ub089984|poles|木电杆的金属横杆装三个绝缘子|Three insulators on metal crossarm of wooden pole|0.62||0
ghana|61eff3c|signs|红黄绿并有黑星的涂装|Red yellow green paint with a black star|0.62||0
ghana|48b1006|posts|黑白相间的城市路杆|Black and white painted urban posts|0.62||0
